Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,Col 24,Col 25,Col 26,Col 27,Col 28,Col 29,Col 30,Col 31,Col 32,Col 33,Col 34,Col 35,Col 36,Col 37,Col 38,Col 39,Col 40
0,15,143,8,,,0,0,319,10,0,,61156,8,527e5906,2d4f83f0,06fe130f,f2463ffb,73467fd0,919c68e4,c8f0a47b,283c92c0,7cee8453,40b054b4,750506a2,12716184,bf78d0d4,be4ee537,fcd8d20f,4cdc3efa,d20856aa,b6bc86c5,9512c20b,083f581c,5731c43e,be98cd91,f717c6be,2b20beea,ff654802,962813c6
1,12,49,,45,2,,0,2,0,,1,29468,,c59d3f3d,fb8eae66,9030e2d8,f2463ffb,25e74633,6fcd6dcb,aac13e2b,31ab2058,46dedfa6,0a29c214,99b256c8,12716184,bf78d0d4,be4ee537,fe6de11a,4cdc3efa,753da5f3,b8170bba,9512c20b,7c06a1e3,a6c92219,79b74ab0,814066c0,9e042319,30436bfc,b757e957
0,11,21,2,23,2,0,0,2,3,0,1,20743,2,1d0ee9c8,dc20f0c1,0ccd2ee8,67ecc871,f7091067,6fcd6dcb,0cb9b3e1,d0da5290,2e4e821f,f63c152c,7146b999,12716184,bf78d0d4,be4ee537,71a4005f,4cdc3efa,d20856aa,ab4667da,0a1d513f,e95f960a,8539abad,f0402c11,f6a673fc,cb957e95,ff654802,2ccea557
0,,11,0,18,16,0,1,7,5,0,3,3301,1,ded7cb25,eb1b3975,ab4a98f7,c6f42255,3a57336e,6fcd6dcb,e83a1b87,0791252c,2e4e821f,15258914,76a9bbed,a16859bd,f4fc3c5e,be4ee537,34ea458a,4cdc3efa,753da5f3,7232d217,108a0699,ccbaae7e,53537aee,683f9960,cef404df,9f91f152,30436bfc,2997ef88
1,14,1248,,,,0,0,0,0,0,,24906,,ad98e872,cea68cd3,3eafa839,f2463ffb,8ac5fbf4,6fcd6dcb,79ce94ae,c0375b13,2e4e821f,62da11e3,14874876,b8c35bbc,a77a4a56,be4ee537,fdc9e405,4cdc3efa,d20856aa,628f1b8d,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,bbb16e1c,30436bfc,e1be5ef2
0,46,7902,2,,1,0,0,2,2,0,1,32332,2,90b5edee,7b831047,3d983690,e6b5b2ee,c6fc10d3,6fcd6dcb,dbf453f7,b69a2b08,dbe3aa6f,017d7363,3961fe34,978d96dc,a77a4a56,be4ee537,9eb57ff0,4cdc3efa,d20856aa,b8170bba,9512c20b,94ab2bd5,543490b1,292963dc,a21280bc,48c76f03,d0b1afa5,2ccea557
0,4,1,6,14,11,0,0,6,9,0,1,8553,6,e5f3fd8d,a15d1051,bfbe69f6,f8d4e630,01b247ea,6fcd6dcb,e7222fbe,43426c29,2e4e821f,7de9c0a9,6652dc64,2e0c6b05,a77a4a56,be4ee537,f3bbfe99,4cdc3efa,d20856aa,a1eb1511,9512c20b,febfd863,a3323ca1,c8e1ee56,1752e9e8,165fbf32,ff654802,ed10571d
0,2,429,4,107,30,0,0,14,3,0,4,8585,4,3df3e224,57527992,1f2c78d4,6521d620,7e3169a1,6fcd6dcb,1da3d4b5,97d1bd60,2e4e821f,fa8190e8,95f8ca79,7ece4469,d49eb1df,,5596e86e,,,a1eb1511,9512c20b,9b499f2c,e0ba9dca,93a0bf49,,10fed8ac,30436bfc,2ccea557
0,17,66,3,43,,0,0,50,31,0,,123,11,527e5906,fb459890,c578a7f3,f2463ffb,c6fc10d3,6fcd6dcb,41858fac,283c92c0,2e4e821f,40b054b4,750506a2,04e60833,a77a4a56,be4ee537,7f0b7280,4cdc3efa,d20856aa,b8170bba,9512c20b,083f581c,5731c43e,be98cd91,6cb278e1,589b9c2d,ff654802,ed10571d
1,,102,1,5,4,2,0,288,2,1,3,7,0,d4bcd263,63f113c2,9a39e796,f2463ffb,c6fc10d3,6fcd6dcb,4e51c029,28808903,2e4e821f,64a24987,30495534,d6ce4a92,a77a4a56,be4ee537,8777820a,4cdc3efa,d20856aa,a1eb1511,9512c20b,708f790d,e54fc1bc,ca3fba16,d7c1fc0b,2a0f0265,30436bfc,b757e957
